,CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,ELECT_TYPE,STATE_FULL,CAND_PTY_AFFILIATION_FULL,campaign_site
1,H6AK00045,"YOUNG, DONALD E",REP,AK,0,House,Alaska,Republican,http://alaskansfordonyoung.com
2,H8AK01031,"NELSON, THOMAS JOHN",REP,AK,0,House,Alaska,Republican,https://johnnelsonforalaskans.com/
3,H8AK00140,"GALVIN, ALYSE",IND,AK,0,House,Alaska,Independent,https://www.alyse4alaska.com/
4,H0AL01097,"AVERHART, JAMES",DEM,AL,1,House,Alabama,Democrat,https://jamesaverhart.com/
5,H0AL01105,"GARDNER, KIANI A",DEM,AL,1,House,Alabama,Democrat,https://kianigardner.com/
6,H0AL01139,"COLLINS, FREDERICK G. RICK'",DEM,AL,1,House,Alabama,Democrat,https://rickcollinscampaign.com/
8,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",REP,AL,1,House,Alabama,Republican,https://www.weslambertforcongress.com/?fbclid=IwAR0iQfiO-7iiE-91ISDexYq1_rUOje4Rw9n__J2LK96oLQfZ02xY-L1A5A8
9,H0AL01071,"PRINGLE, CHRISTOPHER PAUL",REP,AL,1,House,Alabama,Republican,https://pringleforcongress.com/
10,H0AL01089,"HIGHTOWER, BILL",REP,AL,1,House,Alabama,Republican,http://www.billhightower.com
11,H0AL01121,"CASTORANI, JOHN",REP,AL,1,House,Alabama,Republican,https://www.castoraniforcongress.com/
13,H0AL02202,"HARVEY-HALL, PHYLLIS",DEM,AL,2,House,Alabama,Democrat,http://harveyhall2congress.com/
15,H0AL02087,"ROBY, MARTHA",REP,AL,2,House,Alabama,Republican,https://martharoby.com
17,H0AL02145,"COLEMAN, JEFF",REP,AL,2,House,Alabama,Republican,https://jeffcolemanal.com/
18,H0AL02152,"KING, TROY",REP,AL,2,House,Alabama,Republican,http://www.troyking4congress.com/?fbclid=IwAR3qWCDFu12NZNPmD7FGbIHlVaJidAy17yF-_2rrIxMMoZyclmFZLQR_EXg
19,H0AL02160,"BROWN, THOMAS WILLIAM JR.",REP,AL,2,House,Alabama,Republican,https://thomaswbrownjrforcongress.com/
20,H0AL02178,"TAYLOR, JESSICA",REP,AL,2,House,Alabama,Republican,https://jessicatayloral.com/
21,H0AL02194,"HASDORFF, TERRI",REP,AL,2,House,Alabama,Republican,https://www.terriforcongress.com/
22,H6AL02159,"ROGERS, ROBERT L",REP,AL,2,House,Alabama,Republican,https://www.bobrogersforcongress.com/
24,H8AL02171,"MOORE, FELIX BARRY",REP,AL,2,House,Alabama,Republican,http://www.barrymooreforcongress.com
27,H8AL03054,"HAGAN, MALLORY",DEM,AL,3,House,Alabama,Democrat,https://www.haganforhouse.com/
28,H8AL03062,"WINFREY, ADIA",DEM,AL,3,House,Alabama,Democrat,http://www.winfrey4congress.com/
30,H8AL04086,"NEIGHBORS, RICKY",DEM,AL,4,House,Alabama,Democrat,http://neighbors4congress.com/
31,H6AL04098,"ADERHOLT, ROBERT B. REP.",REP,AL,4,House,Alabama,Republican,https://aderholtforcongress.org/
33,H0AL05163,"BROOKS, MO",REP,AL,5,House,Alabama,Republican,https://mobrooksforcongress.com/
34,H0AL05205,"LEWIS, CHRIS",REP,AL,5,House,Alabama,Republican,http://lewisforalabama.com/
36,H4AL06098,"PALMER, GARY",REP,AL,6,House,Alabama,Republican,https://palmerforalabama.com/
37,H0AL07086,"SEWELL, TERRI A.",DEM,AL,7,House,Alabama,Democrat,https://sewellforcongress.com/
38,H6AL07166,"WALTERS, EDDISON T",DEM,AL,7,House,Alabama,Democrat,https://www.eddisonwaltersforcongress.com/
39,H0AR01109,"CAUSEY, CHAD",DEM,AR,1,House,Arkansas,Democrat,https://mikecauseync.com/
40,H0AR01083,"CRAWFORD, ERIC ALAN RICK",REP,AR,1,House,Arkansas,Republican,http://www.meetrickcrawford.com/
41,H0AR01125,"SMITH, PRINCELLA D",REP,AR,1,House,Arkansas,Republican,https://ericaforus.com/
42,H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",DEM,AR,2,House,Arkansas,Democrat,https://www.joyceelliott.com/
44,H8AR02159,"TUCKER, EVERETT CLARKE IV",DEM,AR,2,House,Arkansas,Democrat,http://www.clarketucker.com/
45,H4AR02141,"HILL, JAMES FRENCH",REP,AR,2,House,Arkansas,Republican,https://www.electfrench.com/
46,H0AR03030,"WHITAKER, DAVID JEFFREY",DEM,AR,3,House,Arkansas,Democrat,https://www.davidforar.com/
48,H8AR03074,"MAHONY, JOSH",DEM,AR,3,House,Arkansas,Democrat,https://joshuamahony.com/
49,H0AR03055,"WOMACK, STEVE",REP,AR,3,House,Arkansas,Republican,http://www.womackforcongress.com/
50,H2AR03143,"HENDREN, JAMES PAUL",REP,AR,3,House,Arkansas,Republican,https://www.hendrenforarkansas.com/
52,H0AR04087,"HANSON, WILLIAM MR.",DEM,AR,4,House,Arkansas,Democrat,https://williamhansonforcongress.com/
53,H2AR04133,"HURST, Q. BYRUM JR",DEM,AR,4,House,Arkansas,Democrat,https://web.archive.org/web/2/http://hurst4congress.com/
54,H8AR04130,"SHAMEL, HAYDEN CATHERINE",DEM,AR,4,House,Arkansas,Democrat,https://haydenforcongress.com
55,H2AR04083,"COTTON, THOMAS",REP,AR,4,House,Arkansas,Republican,https://www.tomcotton.com/
56,H4AR04048,"WESTERMAN, BRUCE",REP,AR,4,House,Arkansas,Republican,https://www.brucewesterman.com/
57,H8AR04148,"CALDWELL, RANDY",REP,AR,4,House,Arkansas,Republican,https://caldwell4arkansas.com/
58,H4AS00036,"AMATA, AUMUA",REP,AS,0,House,American Samoa,Republican,https://friendsofamata.com/
59,H0AZ01358,"PUTZOVA, EVA",DEM,AZ,1,House,Arizona,Democrat,https://evaforcongress.com/
60,H6AZ01199,"O'HALLERAN, TOM",DEM,AZ,1,House,Arizona,Democrat,http://www.tomohalleran.com/
62,H0AZ01390,"MOORE, JOHN WILLIAM",REP,AZ,1,House,Arizona,Republican,http://www.moore2017.com/home
63,H0AZ01408,"REIDHEAD, NOLAN QUINN MR",REP,AZ,1,House,Arizona,Republican,https://www.quinnforpa.com
64,H0AZ01424,"SHAMLEY, DOYEL",REP,AZ,1,House,Arizona,Republican,http://www.voteshamley.com/
66,H2AZ09035,"ROGERS, WENDY",REP,AZ,1,House,Arizona,Republican,http://www.wendyrogers.org/
67,H4AZ01145,"KIEHNE, GARY",REP,AZ,1,House,Arizona,Republican,http://www.kiehneforcongress.com/
68,H6AZ01173,"BENNETT, KEN",REP,AZ,1,House,Arizona,Republican,https://www.kenbennett.com/
69,H8AZ01211,"CAVANAUGH, KEVIN",REP,AZ,1,House,Arizona,Republican,https://www.cavanaughfornh.com/
71,H8AZ01237,"SHEDD, TIFFANY",REP,AZ,1,House,Arizona,Republican,https://sheddforcongress.com/
73,H8AZ01104,"KIRKPATRICK, ANN",DEM,AZ,2,House,Arizona,Democrat,https://kirkpatrickforcongress.com/
76,H0AZ02174,"WADSACK, JUSTINE LOUISE",REP,AZ,2,House,Arizona,Republican,https://wadsack4arizona.com/
77,H0AZ02182,"MORGAN, JOSEPH DAVID",REP,AZ,2,House,Arizona,Republican,https://josephmorgan4congress.com/
80,H0AZ02232,"STAUTZ, SHAY",REP,AZ,2,House,Arizona,Republican,https://shaystautzforcongress.com/
81,H0AZ02265,"RUDEN, NORAN ERIC",REP,AZ,2,House,Arizona,Republican,https://rudenforcongress.com/
82,H2AZ08102,"MCSALLY, MARTHA",REP,AZ,2,House,Arizona,Republican,https://mcsallyforsenate.com/
83,H8AZ02185,"MARQUEZ PETERSON, LEA",REP,AZ,2,House,Arizona,Republican,https://www.voteforlea.com/
86,H2AZ07070,"GRIJALVA, RAUL M",DEM,AZ,3,House,Arizona,Democrat,https://standwithraul.com/
90,H8AZ04140,"BRILL, DAVID H",DEM,AZ,4,House,Arizona,Democrat,http://www.brillforcongress.com
91,H8AZ04165,"DISANTO, DELINA",DEM,AZ,4,House,Arizona,Democrat,https://www.delinadisanto.com/
92,H0AZ01259,"GOSAR, PAUL DR.",REP,AZ,4,House,Arizona,Republican,https://drpaulgosar.com/
93,H0AZ04535,"WARD, ANNE MARIE",REP,AZ,4,House,Arizona,Republican,https://www.annemarieforcongress.com/
96,H8AZ05154,"GREENE, JOAN",DEM,AZ,5,House,Arizona,Democrat,https://joangreeneaz.com
97,H2AZ06148,"ADAMS, KIRK DAVID",REP,AZ,5,House,Arizona,Republican,http://www.kirkadams2012.com/
98,H6AZ05083,"BIGGS, ANDY MR.",REP,AZ,5,House,Arizona,Republican,https://biggsforcongress.com/
100,H6AZ05125,"JONES, CHRISTINE",REP,AZ,5,House,Arizona,Republican,http://www.christinejones.com/home
101,H0AZ06068,"RIMMER, STEPHANIE S",DEM,AZ,6,House,Arizona,Democrat,https://rimmerforcongress.com/
102,H0AZ06084,"GENTLES, KARL E",DEM,AZ,6,House,Arizona,Democrat,https://gentlesforcongress.com/
103,H8AZ06103,"MALIK, ANITA",DEM,AZ,6,House,Arizona,Democrat,https://anitaforarizona.com
106,H4AZ06045,"SCHWEIKERT, DAVID S.",REP,AZ,6,House,Arizona,Republican,https://davidschweikert.com/
107,H0AZ06092,"LEWELLEN, TOM MR.",C,AZ,6,House,Arizona,Other,http://www.tommcclintock.com/
