extra_id,text,name,class_simple,topics
16596,fighting for family values,ADERHOLT ROBERT B,2,economy 
16607, commonsense trade policies and strong immigration standards,ADERHOLT ROBERT B,2,economy 
16675, jurisdiction over funding operation of federal government,ADERHOLT ROBERT B,2,economy 
16670,educated through alabamas public school system,ADERHOLT ROBERT B,4,education
16673,from cumberland school of law at samford university,ADERHOLT ROBERT B,4,education
16595,standing up against liberal agenda,ADERHOLT ROBERT B,3,election 
16601, and fights against liberals cultural agenda,ADERHOLT ROBERT B,3,election 
16679,advocate of fiscal responsibility,ADERHOLT ROBERT B,3,election 
16666, strong immigration standards,ADERHOLT ROBERT B,9,immigration
16677, justice and science and supports greater transparency,ADERHOLT ROBERT B,11,science
16667, and robust national security,ADERHOLT ROBERT B,6,security_policy
22715,join petes campaign today,AGUILAR ERICK JAVIER DR,3,election 
3006,dad union worker for local utility company and first job working with grandfather bussing tables at san bernardino county courthouse,AGUILAR PETE,7,domestic_policy
2910, cut taxes and red tape for small businesses,AGUILAR PETE,2,economy 
2987, growing inland empire economy and helping workers find goodpaying jobs continue to top priority in congress,AGUILAR PETE,2,economy 
2907,improving public education,AGUILAR PETE,4,education
2976,thats believe every student works hard able to afford college education,AGUILAR PETE,4,education
2977, wrote bill to help ease student loan burden on students and families,AGUILAR PETE,4,education
2979, on so many inland empire students rely,AGUILAR PETE,4,education
2981,as product of public schools and father of two young boys attending public schools,AGUILAR PETE,4,education
2982, know firsthand quality education vital to future,AGUILAR PETE,4,education
3014, veterans and students,AGUILAR PETE,4,education
2930,join campaign today to help us spread word,AGUILAR PETE,3,election 
2932,join email list to stay up to date on campaign,AGUILAR PETE,3,election 
2964,thats ive fighting back against trump administrations efforts to take health care away from millions of families and allow health insurance companies to call shots,AGUILAR PETE,3,election 
2978, and ive fighting back against republican efforts to cut pell grants,AGUILAR PETE,3,election 
2969,take effects of climate change and pollution very seriously and worked in congress to reduce carbon footprint and prioritize health and safety of communities,AGUILAR PETE,10,environment
2911, make health care more affordable and fix broken immigration system,AGUILAR PETE,5,healthcare
2945, health care and employment opportunities in san bernardino county,AGUILAR PETE,5,healthcare
2948,medicare and social security vital to health and welfare of older americans in san bernardino county and throughout nation,AGUILAR PETE,5,healthcare
2949,fought republican efforts to turn medicare into voucher program,AGUILAR PETE,5,healthcare
2963, affordable health care,AGUILAR PETE,5,healthcare
2965,committed to expanding access to health care for all americans and continue fighting for policies lower cost of coverage for individuals and families,AGUILAR PETE,5,healthcare
2968, or cut millions off of health care plans,AGUILAR PETE,5,healthcare
2993,protecting social security and medicare,AGUILAR PETE,5,healthcare
2916,fixing broken immigration system,AGUILAR PETE,9,immigration
2953,need immigration policy builds bridges,AGUILAR PETE,9,immigration
2957, provides pathway to citizenship,AGUILAR PETE,9,immigration
2959, while also protecting border and national security,AGUILAR PETE,9,immigration
